contig	start	end	name	giemsa
X	1760974	1800056	2B9	gpos100
X	1800056	1834459	2B10	gpos100
X	1834459	1850052	2B11	gpos100
X	1850052	1860968	2B12	gpos100
X	1860968	1876561	2B13	gpos100
X	1876561	1901190	2B14	gpos100
X	1901190	1918430	2B15	gpos100
X	1918430	1943059	2B16	gpos100
X	1943059	1967688	2B17	gpos100
X	1967688	1972106	2B18	gpos100
X	1972106	2010027	2C1	gpos100
X	2010027	2019121	2C2	gpos100
X	2019121	2021662	2C3	gpos100
X	2021662	2028579	2C4	gpos100
X	2028579	2035496	2C5	gpos100
X	2035496	2038036	2C6	gpos100
X	2038036	2046042	2C7	gpos100
X	2046042	2065484	2C8	gpos100
X	2065484	2071652	2C9	gpos100
X	2071652	2083108	2C10	gpos100
X	2083108	2105193	2D1	gpos100
X	2105193	2127279	2D2	gpos100
X	2127279	2138734	2D3	gpos100
X	2138734	2150190	2D4	gpos100
X	2150190	2161646	2D5	gpos100
X	2161646	2173102	2D6	gpos100
X	2173102	2195187	2E1	gpos100
X	2195187	2217272	2E2	gpos100
X	2217272	2223441	2E3	gpos100
X	2223441	2245526	2F1	gpos100
X	2245526	2266061	2F2	gpos100
X	2266061	2271796	2F3	gpos100
X	2271796	2292331	2F4	gpos100
X	2292331	2321100	2F5	gpos100
X	2321100	2328357	2F6	gpos100
X	2328357	2354342	3A1	gpos100
X	2354342	2426642	3A2	gpos100
X	2426642	2490288	3A3	gpos100
X	2490288	2555320	3A4	gpos100
X	2555320	2566926	3A5	gpos100
X	2566926	2606302	3A6	gpos100
X	2606302	2621158	3A7	gpos100
X	2621158	2644928	3A8	gpos100
X	2644928	2658571	3A9	gpos100
X	2658571	2666234	3A10	gpos100
X	2666234	2687099	3B1	gpos100
X	2687099	2710953	3B2	gpos100
X	2710953	2734254	3B3	gpos100
X	2734254	2753185	3B4	gpos100
X	2753185	2777305	3B5	gpos100
X	2777305	2804155	3B6	gpos100
X	2804155	2845022	3C1	gpos100
X	2845022	2907914	3C2	gpos100
X	2907914	2970807	3C3	gpos100
X	2970807	2976541	3C4	gpos100
X	2976541	3039434	3C5	gpos100
X	3039434	3102327	3C6	gpos100
X	3102327	3143194	3C7	gpos100
X	3143194	3153388	3C8	gpos100
X	3153388	3176688	3C9	gpos100
X	3176688	3255074	3C10	gpos100
X	3255074	3289368	3C11	gpos100
X	3289368	3312265	3C12	gpos100
X	3312265	3354787	3D1	gpos100
X	3354787	3407122	3D2	gpos100
X	3407122	3459456	3D3	gpos100
X	3459456	3511791	3D4	gpos100
X	3511791	3554314	3D5	gpos100
X	3554314	3596836	3D6	gpos100
X	3596836	3614212	3D7	gpos100
X	3614212	3666547	3E1	gpos100
X	3666547	3675489	3E2	gpos100
X	3675489	3677060	3E3	gpos100
X	3677060	3691605	3E4	gpos100
X	3691605	3712384	3E5	gpos100
X	3712384	3733163	3E6	gpos100
X	3733163	3751936	3E7	gpos100
X	3751936	3765077	3E8	gpos100
X	3765077	3795114	3F1	gpos100
X	3795114	3834115	3F2	gpos100
X	3834115	3865803	3F3	gpos100
X	3865803	3899492	3F4	gpos100
X	3899492	3902182	3F5	gpos100
X	3902182	3914234	3F6	gpos100
X	3914234	3940705	3F7	gpos100
X	3940705	3943395	3F8	gpos100
X	3943395	3955446	3F9	gpos100
X	3955446	4003760	4A1	gpos100
X	4003760	4052074	4A2	gpos100
X	4052074	4069291	4A3	gpos100
X	4069291	4086507	4A4	gpos100
X	4086507	4112978	4A5	gpos100
X	4112978	4115668	4A6	gpos100
X	4115668	4148487	4B1	gpos100
X	4148487	4186471	4B2	gpos100
X	4186471	4234785	4B3	gpos100
X	4234785	4288372	4B4	gpos100
X	4288372	4300423	4B5	gpos100
X	4300423	4333243	4B6	gpos100
X	4333243	4366062	4C1	gpos100
X	4366062	4398881	4C2	gpos100
X	4398881	4447195	4C3	gpos100
X	4447195	4500781	4C4	gpos100
X	4500781	4517998	4C5	gpos100
X	4517998	4530050	4C6	gpos100
X	4530050	4562869	4C7	gpos100
X	4562869	4595688	4C8	gpos100
X	4595688	4612904	4C9	gpos100
X	4612904	4645724	4C10	gpos100
X	4645724	4668105	4C11	gpos100
X	4668105	4685322	4C12	gpos100
X	4685322	4697373	4C13	gpos100
X	4697373	4709425	4C14	gpos100
X	4709425	4736971	4C15	gpos100
X	4736971	4749023	4C16	gpos100
X	4749023	4802610	4D1	gpos100
X	4802610	4861361	4D2	gpos100
X	4861361	4878578	4D3	gpos100
X	4878578	4895794	4D4	gpos100
X	4895794	4918176	4D5	gpos100
X	4918176	4930228	4D6	gpos100
X	4930228	4964039	4D7	gpos100
X	4964039	5027640	4E1	gpos100
X	5027640	5091241	4E2	gpos100
X	5091241	5107106	4E3	gpos100
X	5107106	5157109	4F1	gpos100
X	5157109	5213911	4F2	gpos100
X	5213911	5270713	4F3	gpos100
X	5270713	5313917	4F4	gpos100
X	5313917	5348763	4F5	gpos100
X	5348763	5352304	4F6	gpos100
X	5352304	5368169	4F7	gpos100
X	5368169	5384034	4F8	gpos100
X	5384034	5420297	4F9	gpos100
X	5420297	5438063	4F10	gpos100
X	5438063	5458536	4F11	gpos100
X	5458536	5460271	4F12	gpos100
X	5460271	5468044	4F13	gpos100
X	5468044	5475816	4F14	gpos100
X	5475816	5500314	5A1	gpos100
X	5500314	5524812	5A2	gpos100
X	5524812	5539247	5A3	gpos100
X	5539247	5557013	5A4	gpos100
X	5557013	5581511	5A5	gpos100
X	5581511	5602678	5A6	gpos100
X	5602678	5613781	5A7	gpos100
X	5613781	5634948	5A8	gpos100
X	5634948	5659446	5A9	gpos100
X	5659446	5670550	5A10	gpos100
X	5670550	5678322	5A11	gpos100
X	5678322	5689426	5A12	gpos100
X	5689426	5694140	5A13	gpos100
X	5694140	5697152	5A14	gpos100
X	5697152	5714029	5B1	gpos100
X	5714029	5727129	5B2	gpos100
X	5727129	5738076	5B3	gpos100
X	5738076	5739004	5B4	gpos100
X	5739004	5743160	5B5	gpos100
X	5743160	5754107	5B6	gpos100
X	5754107	5755035	5B7	gpos100
X	5755035	5765982	5B8	gpos100
X	5765982	5765992	5B9	gpos100
X	5765992	5766002	5B10	gpos100
X	5766002	5766012	5C1	gpos100
X	5766012	5832775	5C2	gpos100
X	5832775	5848081	5C3	gpos100
X	5848081	5856690	5C4	gpos100
X	5856690	5878554	5C5	gpos100
X	5878554	5900418	5C6	gpos100
X	5900418	5922283	5C7	gpos100
X	5922283	5930482	5C8	gpos100
X	5930482	5935387	5C9	gpos100
X	5935387	5955320	5C10	gpos100
X	5955320	5997832	5D1	gpos100
X	5997832	6044081	5D2	gpos100
X	6044081	6078262	5D3	gpos100
X	6078262	6097304	5D4	gpos100
X	6097304	6137074	5D5	gpos100
X	6137074	6181605	5D6	gpos100
X	6181605	6192713	5D7	gpos100
X	6192713	6198961	5D8	gpos100
X	6198961	6247360	5E1	gpos100
X	6247360	6249839	5E2	gpos100
X	6249839	6265708	5E3	gpos100
X	6265708	6281576	5E4	gpos100
X	6281576	6291432	5E5	gpos100
X	6291432	6298332	5E6	gpos100
X	6298332	6305231	5E7	gpos100
X	6305231	6315088	5E8	gpos100
X	6315088	6330858	5F1	gpos100
X	6330858	6351932	5F2	gpos100
X	6351932	6361152	5F3	gpos100
X	6361152	6374323	5F4	gpos100
X	6374323	6391445	5F5	gpos100
X	6391445	6400665	5F6	gpos100
X	6400665	6441660	6A1	gpos100
X	6441660	6482655	6A2	gpos100
X	6482655	6499778	6A3	gpos100
X	6499778	6516900	6A4	gpos100
X	6516900	6537974	6B1	gpos100
X	6537974	6559048	6B2	gpos100
X	6559048	6576170	6B3	gpos100
X	6576170	6585390	6B4	gpos100
X	6585390	6614449	6C1	gpos100
X	6614449	6647459	6C2	gpos100
X	6647459	6660630	6C3	gpos100
X	6660630	6676740	6C4	gpos100
X	6676740	6683719	6C5	gpos100
X	6683719	6692792	6C6	gpos100
X	6692792	6703959	6C7	gpos100
X	6703959	6708845	6C8	gpos100
X	6708845	6726337	6C9	gpos100
X	6726337	6745922	6C10	gpos100
X	6745922	6750808	6C11	gpos100
X	6750808	6766206	6C12	gpos100
X	6766206	6779510	6C13	gpos100
X	6779510	6788583	6D1	gpos100
X	6788583	6804156	6D2	gpos100
X	6804156	6825193	6D3	gpos100
X	6825193	6843188	6D4	gpos100
X	6843188	6844500	6D5	gpos100
X	6844500	6850376	6D6	gpos100
X	6850376	6861288	6D7	gpos100
X	6861288	6863445	6D8	gpos100
X	6863445	6868102	6E1	gpos100
X	6868102	6935337	6E2	gpos100
X	6935337	6959296	6E3	gpos100
X	6959296	7033868	6E4	gpos100
X	7033868	7033878	6E5	gpos100
X	7033878	7033888	6E6	gpos100
X	7033888	7033898	6E7	gpos100
X	7033898	7069888	6F1	gpos100
X	7069888	7071415	6F2	gpos100
X	7071415	7078256	6F3	gpos100
X	7078256	7085097	6F4	gpos100
X	7085097	7114904	6F5	gpos100
X	7114904	7116431	6F6	gpos100
X	7116431	7123272	6F7	gpos100
X	7123272	7130113	6F8	gpos100
X	7130113	7136954	6F9	gpos100
X	7136954	7143795	6F10	gpos100
X	7143795	7150636	6F11	gpos100
X	7150636	7172198	7A1	gpos100
X	7172198	7193759	7A2	gpos100
X	7193759	7203532	7A3	gpos100
X	7203532	7239203	7A4	gpos100
X	7239203	7250403	7A5	gpos100
X	7250403	7258713	7A6	gpos100
X	7258713	7270584	7A7	gpos100
X	7270584	7286017	7A8	gpos100
X	7286017	7337287	7B1	gpos100
X	7337287	7483042	7B2	gpos100
X	7483042	7557502	7B3	gpos100
X	7557502	7631961	7B4	gpos100
X	7631961	7665711	7B5	gpos100
X	7665711	7719710	7B6	gpos100
X	7719710	7763863	7B7	gpos100
X	7763863	7801642	7B8	gpos100
X	7801642	7892094	7C1	gpos100
X	7892094	7914742	7C2	gpos100
X	7914742	7926384	7C3	gpos100
X	7926384	7933660	7C4	gpos100
X	7933660	7933670	7C5	gpos100
X	7933670	7934145	7C6	gpos100
X	7934145	7934858	7C7	gpos100
X	7934858	7937653	7C8	gpos100
X	7937653	7947829	7C9	gpos100
X	7947829	7970075	7D1	gpos100
X	7970075	8029756	7D2	gpos100
X	8029756	8044642	7D3	gpos100
X	8044642	8053016	7D4	gpos100
X	8053016	8087044	7D5	gpos100
X	8087044	8126255	7D6	gpos100
X	8126255	8126265	7D7	gpos100
X	8126265	8126275	7D8	gpos100
X	8126275	8126285	7D9	gpos100
X	8126285	8126295	7D10	gpos100
X	8126295	8126305	7D11	gpos100
X	8126305	8133234	7D12	gpos100
X	8133234	8135468	7D13	gpos100
X	8135468	8139438	7D14	gpos100
X	8139438	8146812	7D15	gpos100
X	8146812	8157624	7D16	gpos100
X	8157624	8178749	7D17	gpos100
X	8178749	8205831	7D18	gpos100
X	8205831	8205841	7D19	gpos100
X	8205841	8215335	7D20	gpos100
X	8215335	8224978	7D21	gpos100
X	8224978	8246254	7D22	gpos100
X	8246254	8294387	7E1	gpos100
X	8294387	8345659	7E2	gpos100
X	8345659	8363612	7E3	gpos100
X	8363612	8369050	7E4	gpos100
X	8369050	8387004	7E5	gpos100
X	8387004	8409101	7E6	gpos100
X	8409101	8426192	7E7	gpos100
X	8426192	8428350	7E8	gpos100
X	8428350	8453813	7E9	gpos100
X	8453813	8455971	7E10	gpos100
X	8455971	8465638	7E11	gpos100
X	8465638	8516047	7F1	gpos100
X	8516047	8518205	7F2	gpos100
X	8518205	8544532	7F3	gpos100
X	8544532	8570858	7F4	gpos100
X	8570858	8576296	7F5	gpos100
X	8576296	8581734	7F6	gpos100
X	8581734	8599688	7F7	gpos100
X	8599688	8617641	7F8	gpos100
X	8617641	8627309	7F9	gpos100
X	8627309	8649406	7F10	gpos100
X	8649406	8684019	8A1	gpos100
X	8684019	8718632	8A2	gpos100
X	8718632	8728299	8A3	gpos100
X	8728299	8746253	8A4	gpos100
X	8746253	8768350	8A5	gpos100
X	8768350	8802963	8B1	gpos100
X	8802963	8833432	8B2	gpos100
X	8833432	8855529	8B3	gpos100
X	8855529	8877626	8B4	gpos100
X	8877626	8891437	8B5	gpos100
X	8891437	8901104	8B6	gpos100
X	8901104	8919115	8B7	gpos100
X	8919115	8933649	8B8	gpos100
X	8933649	9003206	8C1	gpos100
X	9003206	9006450	8C2	gpos100
X	9006450	9033443	8C3	gpos100
X	9033443	9084183	8C4	gpos100
X	9084183	9084193	8C5	gpos100
X	9084193	9084203	8C6	gpos100
X	9084203	9087896	8C7	gpos100
X	9087896	9095015	8C8	gpos100
X	9095015	9116818	8C9	gpos100
X	9116818	9118407	8C10	gpos100
X	9118407	9125527	8C11	gpos100
X	9125527	9132646	8C12	gpos100
X	9132646	9145868	8C13	gpos100
X	9145868	9163009	8C14	gpos100
X	9163009	9176195	8C15	gpos100
X	9176195	9185425	8C16	gpos100
X	9185425	9194655	8C17	gpos100
X	9194655	9223746	8D1	gpos100
X	9223746	9248881	8D2	gpos100
X	9248881	9262067	8D3	gpos100
X	9262067	9279208	8D4	gpos100
X	9279208	9296350	8D5	gpos100
X	9296350	9317447	8D6	gpos100
X	9317447	9326677	8D7	gpos100
X	9326677	9347774	8D8	gpos100
X	9347774	9364915	8D9	gpos100
X	9364915	9385188	8D10	gpos100
X	9385188	9387248	8D11	gpos100
X	9387248	9412383	8D12	gpos100
X	9412383	9445430	8E1	gpos100
X	9445430	9478477	8E2	gpos100
X	9478477	9495618	8E3	gpos100
X	9495618	9512759	8E4	gpos100
X	9512759	9521989	8E5	gpos100
X	9521989	9531219	8E6	gpos100
X	9531219	9559486	8E7	gpos100
X	9559486	9561546	8E8	gpos100
X	9561546	9566738	8E9	gpos100
X	9566738	9591049	8E10	gpos100
X	9591049	9591059	8E11	gpos100
X	9591059	9600460	8E12	gpos100
X	9600460	9614746	8F1	gpos100
X	9614746	9629032	8F2	gpos100
X	9629032	9635282	8F3	gpos100
X	9635282	9644211	8F4	gpos100
X	9644211	9653139	8F5	gpos100
X	9653139	9664747	8F6	gpos100
X	9664747	9676354	8F7	gpos100
X	9676354	9682604	8F8	gpos100
X	9682604	9688854	8F9	gpos100
X	9688854	9709556	8F10	gpos100
X	9709556	9786992	9A1	gpos100
X	9786992	9871237	9A2	gpos100
X	9871237	9976046	9A3	gpos100
X	9976046	10046675	9A4	gpos100
X	10046675	10055610	9A5	gpos100
X	10055610	10119289	9B1	gpos100
X	10119289	10189918	9B2	gpos100
X	10189918	10205803	9B3	gpos100
X	10205803	10235303	9B4	gpos100
X	10235303	10278559	9B5	gpos100
X	10278559	10321816	9B6	gpos100
X	10321816	10351316	9B7	gpos100
X	10351316	10351326	9B8	gpos100
X	10351326	10351336	9B9	gpos100
X	10351336	10351346	9B10	gpos100
X	10351346	10366250	9B11	gpos100
X	10366250	10377047	9B12	gpos100
X	10377047	10381771	9B13	gpos100
X	10381771	10400286	9B14	gpos100
X	10400286	10401341	9B15	gpos100
X	10401341	10424369	9C1	gpos100
X	10424369	10447397	9C2	gpos100
X	10447397	10454146	9C3	gpos100
X	10454146	10460894	9C4	gpos100
X	10460894	10463551	9C5	gpos100
X	10463551	10466208	9C6	gpos100
X	10466208	10479072	9D1	gpos100
X	10479072	10534561	9D2	gpos100
X	10534561	10598783	9D3	gpos100
X	10598783	10645358	9D4	gpos100
X	10645358	10744693	9E1	gpos100
X	10744693	10754160	9E2	gpos100
X	10754160	10756102	9E3	gpos100
X	10756102	10762249	9E4	gpos100
X	10762249	10763840	9E5	gpos100
X	10763840	10765430	9E6	gpos100
X	10765430	10770983	9E7	gpos100
X	10770983	10775665	9E8	gpos100
X	10775665	10779585	9E9	gpos100
X	10779585	10781790	9E10	gpos100
X	10781790	10794146	9F1	gpos100
X	10794146	10816483	9F2	gpos100
X	10816483	10820469	9F3	gpos100
X	10820469	10839768	9F4	gpos100
X	10839768	10870647	9F5	gpos100
X	10870647	10872229	9F6	gpos100
X	10872229	10885390	9F7	gpos100
X	10885390	10907094	9F8	gpos100
X	10907094	10908676	9F9	gpos100
X	10908676	10921837	9F10	gpos100
X	10921837	10928924	9F11	gpos100
X	10928924	10948224	9F12	gpos100
X	10948224	10976635	9F13	gpos100
X	10976635	11002008	10A1	gpos100
X	11002008	11033520	10A2	gpos100
X	11033520	11065370	10A3	gpos100
X	11065370	11112727	10A4	gpos100
X	11112727	11115153	10A5	gpos100
X	11115153	11139025	10A6	gpos100
X	11139025	11141451	10A7	gpos100
X	11141451	11165323	10A8	gpos100
X	11165323	11167749	10A9	gpos100
X	11167749	11187934	10A10	gpos100
X	11187934	11198803	10A11	gpos100
X	11198803	11261103	10B1	gpos100
X	11261103	11323404	10B2	gpos100
X	11323404	11353002	10B3	gpos100
X	11353002	11358229	10B4	gpos100
X	11358229	11366285	10B5	gpos100
X	11366285	11374341	10B6	gpos100
X	11374341	11382396	10B7	gpos100
X	11382396	11403155	10B8	gpos100
X	11403155	11404124	10B9	gpos100
X	11404124	11419654	10B10	gpos100
X	11419654	11435185	10B11	gpos100
X	11435185	11439522	10B12	gpos100
X	11439522	11453194	10B13	gpos100
X	11453194	11466865	10B14	gpos100
X	11466865	11485765	10B15	gpos100
X	11485765	11486734	10B16	gpos100
X	11486734	11489173	10B17	gpos100
X	11489173	11504704	10C1	gpos100
X	11504704	11522905	10C2	gpos100
X	11522905	11536749	10C3	gpos100
X	11536749	11548369	10C4	gpos100
X	11548369	11559989	10C5	gpos100
X	11559989	11571609	10C6	gpos100
X	11571609	11584999	10C7	gpos100
X	11584999	11586134	10C8	gpos100
X	11586134	11597754	10C9	gpos100
X	11597754	11607195	10C10	gpos100
X	11607195	11623217	10D1	gpos100
X	11623217	11657343	10D2	gpos100
X	11657343	11664086	10D3	gpos100
X	11664086	11686350	10D4	gpos100
X	11686350	11706779	10D5	gpos100
X	11706779	11715401	10D6	gpos100
X	11715401	11720251	10D7	gpos100
X	11720251	11728873	10D8	gpos100
X	11728873	11756048	10E1	gpos100
X	11756048	11781285	10E2	gpos100
X	11781285	11805570	10E3	gpos100
X	11805570	11807628	10E4	gpos100
X	11807628	11812815	10E5	gpos100
X	11812815	11829938	10E6	gpos100
X	11829938	11855047	10F1	gpos100
X	11855047	11878552	10F2	gpos100
X	11878552	11883407	10F3	gpos100
X	11883407	11909840	10F4	gpos100
X	11909840	11911766	10F5	gpos100
X	11911766	11920398	10F6	gpos100
X	11920398	11932728	10F7	gpos100
X	11932728	11945058	10F8	gpos100
X	11945058	11953689	10F9	gpos100
X	11953689	11969719	10F10	gpos100
X	11969719	11982049	10F11	gpos100
X	11982049	12027054	11A1	gpos100
X	12027054	12062670	11A2	gpos100
X	12062670	12101712	11A3	gpos100
X	12101712	12140754	11A4	gpos100
X	12140754	12170786	11A5	gpos100
X	12170786	12228035	11A6	gpos100
X	12228035	12294293	11A7	gpos100
X	12294293	12360552	11A8	gpos100
X	12360552	12426810	11A9	gpos100
X	12426810	12447833	11A10	gpos100
X	12447833	12486874	11A11	gpos100
X	12486874	12525916	11A12	gpos100
X	12525916	12583165	11B1	gpos100
X	12583165	12605819	11B2	gpos100
X	12605819	12614137	11B3	gpos100
X	12614137	12622456	11B4	gpos100
X	12622456	12630775	11B5	gpos100
X	12630775	12639094	11B6	gpos100
X	12639094	12657365	11B7	gpos100
X	12657365	12659222	11B8	gpos100
X	12659222	12678236	11B9	gpos100
X	12678236	12703713	11B10	gpos100
X	12703713	12705569	11B11	gpos100
X	12705569	12710249	11B12	gpos100
X	12710249	12722133	11B13	gpos100
X	12722133	12751174	11B14	gpos100
X	12751174	12753031	11B15	gpos100
X	12753031	12772045	11B16	gpos100
X	12772045	12772055	11B17	gpos100
X	12772055	12772065	11B18	gpos100
X	12772065	12772075	11B19	gpos100
X	12772075	12778532	11C1	gpos100
X	12778532	12811935	11C2	gpos100
X	12811935	12824201	11C3	gpos100
X	12824201	12836466	11C4	gpos100
X	12836466	12911046	11D1	gpos100
X	12911046	12913784	11D2	gpos100
X	12913784	12941820	11D3	gpos100
X	12941820	12954086	11D4	gpos100
X	12954086	12982121	11D5	gpos100
X	12982121	13010157	11D6	gpos100
X	13010157	13022423	11D7	gpos100
X	13022423	13055825	11D8	gpos100
X	13055825	13073348	11D9	gpos100
X	13073348	13101383	11D10	gpos100
X	13101383	13113649	11D11	gpos100
X	13113649	13172349	11E1	gpos100
X	13172349	13175087	11E2	gpos100
X	13175087	13217908	11E3	gpos100
X	13217908	13220645	11E4	gpos100
X	13220645	13227545	11E5	gpos100
X	13227545	13250324	11E6	gpos100
X	13250324	13257224	11E7	gpos100
X	13257224	13285259	11E8	gpos100
X	13285259	13312200	11E9	gpos100
X	13312200	13314938	11E10	gpos100
X	13314938	13336622	11E11	gpos100
X	13336622	13339360	11E12	gpos100
X	13339360	13346259	11E13	gpos100
X	13346259	13399703	11F1	gpos100
X	13399703	13399713	11F2	gpos100
X	13399713	13401690	11F3	gpos100
X	13401690	13413561	11F4	gpos100
X	13413561	13421871	11F5	gpos100
X	13421871	13437303	11F6	gpos100
X	13437303	13452735	11F7	gpos100
X	13452735	13461045	11F8	gpos100
X	13461045	13497993	12A1	gpos100
X	13497993	13531305	12A2	gpos100
X	13531305	13535979	12A3	gpos100
X	13535979	13572186	12A4	gpos100
X	13572186	13574040	12A5	gpos100
X	13574040	13589473	12A6	gpos100
X	13589473	13604905	12A7	gpos100
X	13604905	13623898	12A8	gpos100
X	13623898	13646527	12A9	gpos100
X	13646527	13646537	12A10	gpos100
X	13646537	13655034	12B1	gpos100
X	13655034	13691860	12B2	gpos100
X	13691860	13703545	12B3	gpos100
X	13703545	13754455	12B4	gpos100
X	13754455	13754465	12B5	gpos100
X	13754465	13754475	12B6	gpos100
X	13754475	13754485	12B7	gpos100
X	13754485	13754495	12B8	gpos100
X	13754495	13755214	12B9	gpos100
X	13755214	13757665	12B10	gpos100
X	13757665	13767270	12C1	gpos100
X	13767270	13772900	12C2	gpos100
X	13772900	13775658	12C3	gpos100
X	13775658	13784766	12C4	gpos100
X	13784766	13819476	12C5	gpos100
X	13819476	13841244	12C6	gpos100
X	13841244	13898579	12C7	gpos100
X	13898579	13903438	12C8	gpos100
X	13903438	13990703	12D1	gpos100
X	13990703	14044898	12D2	gpos100
X	14044898	14058416	12D3	gpos100
X	14058416	14071935	12D4	gpos100
X	14071935	14080987	12D5	gpos100
X	14080987	14129388	12E1	gpos100
X	14129388	14189497	12E2	gpos100
X	14189497	14203016	12E3	gpos100
X	14203016	14216534	12E4	gpos100
X	14216534	14251134	12E5	gpos100
X	14251134	14271299	12E6	gpos100
X	14271299	14291463	12E7	gpos100
X	14291463	14372300	12E8	gpos100
X	14372300	14453138	12E9	gpos100
X	14453138	14490586	12E10	gpos100
X	14490586	14510750	12E11	gpos100
X	14510750	14650641	12F1	gpos100
X	14650641	14718166	12F2	gpos100
X	14718166	14755933	12F3	gpos100
X	14755933	14826072	12F4	gpos100
X	14826072	14848816	12F5	gpos100
X	14848816	14870467	12F6	gpos100
X	14870467	14873201	12F7	gpos100
X	14873201	14968770	13A1	gpos100
X	14968770	14971504	13A2	gpos100
X	14971504	14978393	13A3	gpos100
X	14978393	14985281	13A4	gpos100
X	14985281	15059747	13A5	gpos100
X	15059747	15059757	13A6	gpos100
X	15059757	15059767	13A7	gpos100
X	15059767	15073064	13A8	gpos100
X	15073064	15085367	13A9	gpos100
X	15085367	15092893	13A10	gpos100
X	15092893	15112007	13A11	gpos100
X	15112007	15131121	13A12	gpos100
X	15131121	15195152	13B1	gpos100
X	15195152	15198139	13B2	gpos100
X	15198139	15246043	13B3	gpos100
X	15246043	15293947	13B4	gpos100
X	15293947	15307327	13B5	gpos100
X	15307327	15342568	13B6	gpos100
X	15342568	15345555	13B7	gpos100
X	15345555	15358934	13B8	gpos100
X	15358934	15372314	13B9	gpos100
X	15372314	15442080	13C1	gpos100
X	15442080	15445066	13C2	gpos100
X	15445066	15456047	13C3	gpos100
X	15456047	15473609	13C4	gpos100
X	15473609	15506622	13C5	gpos100
X	15506622	15506632	13C6	gpos100
X	15506632	15514625	13C7	gpos100
X	15514625	15522834	13C8	gpos100
X	15522834	15545189	13D1	gpos100
X	15545189	15567544	13D2	gpos100
X	15567544	15575753	13D3	gpos100
X	15575753	15590265	13D4	gpos100
X	15590265	15592098	13D5	gpos100
X	15592098	15627865	13E1	gpos100
X	15627865	15629698	13E2	gpos100
